pdb_id,protein_id,oligomeric_state
4ZFS,killerorange,dimer
5AQB,seqclust_93,
5B61,esgfp,
5BQL,seqclust_94,
5BT0,superfolder-bfp,monomer
5BTT,superfolder-bfp,monomer
5DPG,seqclust_95,
5DPH,seqclust_96,
5DPI,seqclust_97,
5DPJ,seqclust_98,
5DQB,wascfp,monomer
5DQM,wascfp,monomer
5DRF,wascfp,monomer
5DRG,wascfp,monomer
5DTL,meos2-a69t,monomer
5DTX,rsegfp2,monomer
5DTY,rsegfp2,monomer
5DTZ,rsfolder,monomer
5DU0,rsfolder,monomer
5DY6,superfolder-bfp,monomer
5EHU,seqclust_99,
5EXB,seqclust_100,
5EXC,pdb_5EXC,
5F9G,seqclust_101,
5FGU,yegfp,
5FHV,seqclust_102,monomer
5FVF,irisfp,tetramer
5FVG,irisfp,tetramer
5FVI,irisfp,tetramer
5H87,seqclust_103,
5H88,seqclust_104,
5H89,seqclust_105,
5HBD,yegfp,
5HGE,yegfp,
5HW9,yegfp,
5HZO,seqclust_106,
5HZS,dronpa,monomer
5HZT,dronpa,monomer
5HZU,dronpa,monomer
5J2O,cerulean,weak_dimer
5J3N,seqclust_107,
5JZK,usgfp,dimer
5JZL,mugfp,monomer
5KTG,yegfp,
5LEL,seqclust_108,
5LEM,seqclust_109,
5LK4,mscarlet,monomer
5LTP,mneongreen,monomer
5LTQ,lanyfp,tetramer
5LTR,mneongreen,monomer
5MA3,seqclust_110,
5MA4,seqclust_111,
5MA5,seqclust_112,
5MA6,3-ftyr-egfp,
5MA8,seqclust_113,
5MA9,seqclust_114,
5MAD,seqclust_115,
5MAK,seqclust_116,
5MFC,seqclust_117,
5MSE,seqclust_118,
5N9O,egfp,weak_dimer
5NHN,seqclust_119,
5NI3,yuzufp,monomer
5O89,rsegfp2,monomer
5O8A,rsegfp2,monomer
5O8B,rsegfp2,monomer
5O8C,rsegfp2,monomer
5OOZ,skylan-ns,monomer
5OQ9,skylan-ns,monomer
5OQA,skylan-ns,monomer
5OQE,seqclust_120,
5OX8,ecfp,monomer
5OX9,scfp3a,monomer
5OXA,cerulean,weak_dimer
5OXB,cerulean,weak_dimer
5OXC,cerulean,weak_dimer
5T3I,aquamarine,monomer
5WJ2,clover,weak_dimer
5WJ3,seqclust_121,
5WJ4,seqclust_122,
5WWK,esgfp,
5Y8Q,zsyellow1,
5Y8R,zsyellow1,
5YR2,seqclust_123,
5YR3,seqclust_124,
5Z6Y,seqclust_125,
6AA2,seqclust_126,
6AA6,seqclust_127,
6AA7,adred,
6AS9,yegfp,
6B7R,seqclust_128,
6B7T,seqclust_129,
6B9C,seqclust_130,monomer
6CIU,seqclust_131,
6D38,seqclust_132,
6D39,seqclust_133,
6DEJ,hcred7,dimer
6DQ0,seqclust_95,
6DQ1,seqclust_96,
6EFR,seqclust_134,
6FLL,3-ftyr-egfp,
6FP7,seqclust_135,
6FP8,seqclust_135,
6FWW,seqclust_136,
6GEL,mcerulean2,monomer
6GEZ,mcerulean2,monomer
6GO8,gfpmut2,weak_dimer
6GO9,gfpmut2,weak_dimer
6GOY,meos4b,
6GOZ,seqclust_137,
6GP0,meos4b,
6GP1,pdb_6GP1,
6GQG,gfpmut2,weak_dimer
6GQH,gfpmut2,weak_dimer
6GRM,gfpmut2,weak_dimer
6H01,seqclust_138,
6HR1,seqclust_139,
6HUT,seqclust_140,
6IR6,seqclust_141,
6IR7,seqclust_142,
6J1A,seqclust_143,
6J1B,seqclust_144,
6J1C,seqclust_144,
6JC6,shcp,weak_dimer
6JGH,alphagfp,dimer
6JGI,alphagfp,dimer
6JGJ,alphagfp,dimer
6JXF,seqclust_143,
6KKZ,alphagfp,dimer
6KL0,alphagfp,dimer
6KL1,alphagfp,dimer
6KRG,seqclust_145,
6L02,seqclust_146,
6L27,seqclust_147,
6LNP,seqclust_148,
6LOF,tpapaya001,
6LR7,seqclust_149,
6M63,seqclust_150,
6M9X,seqclust_151,
6M9Y,pdb_6M9Y,
6M9Z,seqclust_152,
6MAS,seqclust_151,
6MXW,seqclust_153,
6MYB,seqclust_154,
6MYC,seqclust_154,
6MZ3,seqclust_155,monomer
6NQJ,seqclust_156,monomer
6NQK,seqclust_156,monomer
6NQL,seqclust_156,monomer
6NQN,seqclust_156,monomer
6NQO,seqclust_156,monomer
6NQP,seqclust_156,monomer
6NQQ,seqclust_156,monomer
6NQR,seqclust_156,monomer
6NQS,seqclust_156,monomer
6NQV,seqclust_156,monomer
6OA8,seqclust_130,monomer
6OFK,seqclust_157,
6OFL,seqclust_157,
6OFM,seqclust_157,
6OFN,seqclust_158,
6OFO,seqclust_159,
6OG8,seqclust_160,
6OG9,seqclust_160,
6OGA,seqclust_160,
6OGB,seqclust_160,
6OGC,seqclust_160,
6PFR,seqclust_161,
6PFS,seqclust_161,
6PFT,seqclust_161,
6PFU,seqclust_161,
6QQ8,cerulean,weak_dimer
6QQ9,cerulean,weak_dimer
6QQA,cerulean,weak_dimer
6QQB,cerulean,weak_dimer
6QSL,seqclust_162,
6QSM,seqclust_162,
6QSO,seqclust_163,
6QUH,seqclust_164,
6QUI,seqclust_164,
6QUJ,seqclust_164,
6S67,aausfp1,dimer
6SM0,seqclust_165,weak_dimer
6T39,seqclust_166,
6T3A,seqclust_166,
6UHJ,seqclust_167,
6UHK,seqclust_168,
6UHL,seqclust_167,
6UHM,seqclust_167,
6UHN,seqclust_167,
6UHO,seqclust_167,
6UHP,seqclust_167,
6UHQ,seqclust_167,
6UHR,seqclust_167,
6UN4,seqclust_169,
6UN5,seqclust_170,
6UN6,seqclust_170,
6UN7,seqclust_170,
6VIO,eyfp,weak_dimer
6WV3,superfolder-bfp,
6WV4,superfolder-bfp,
6WV5,superfolder-bfp,
6WV6,superfolder-bfp,
6WV7,superfolder-bfp,
6WV8,yuzufp,
6WV9,yuzufp,
6WVA,yuzufp,
6WVB,yuzufp,
6WVD,seqclust_171,
6WVE,superfolder-bfp,
6WVF,superfolder-bfp,
6WVG,seqclust_172,
6WVH,superfolder-bfp,
6WVI,yuzufp,
6XWY,mcrispred,monomer
6XZF,cgfp,
6Y1G,seqclust_173,tetramer
6YLM,seqclust_174,monomer
6YLS,meos4b,
6ZQO,eyfp,weak_dimer
6ZSM,seqclust_175,
6ZSN,seqclust_175,
6ZUI,seqclust_176,
7A7K,rsegfp,monomer
7A7L,rsegfp,monomer
7A7M,seqclust_177,
7A7N,seqclust_177,
7A7O,seqclust_178,
7A7P,seqclust_178,
7A7Q,seqclust_179,
7A7R,seqclust_179,
7A7S,rsgreen1,monomer
7A7T,rsgreen1,monomer
7A7U,rsgreen1,monomer
7A7V,rsgreen1,monomer
7A7W,seqclust_180,
7A7X,seqclust_180,
7A7Y,seqclust_181,
7A7Z,seqclust_182,
7A80,seqclust_183,
7A81,seqclust_184,
7A82,seqclust_184,
7A83,seqclust_185,
7A84,seqclust_185,
7A85,seqclust_186,
7A86,seqclust_186,
7A87,seqclust_187,
7A88,seqclust_187,
7A89,seqclust_188,
7A8A,seqclust_188,
7A8B,seqclust_189,
7A8C,seqclust_189,
7A8D,seqclust_190,
7A8E,seqclust_190,
7A8F,seqclust_191,
7A8G,seqclust_192,
7A8H,seqclust_193,
7A8I,seqclust_193,
7A8J,seqclust_194,
7A8K,seqclust_194,
7A8L,seqclust_195,
7A8M,seqclust_196,
7A8N,seqclust_197,
7A8O,seqclust_198,
7AMB,seqclust_199,
7AMF,seqclust_199,
7AMU,seqclust_200,
7BHG,seqclust_201,monomer
7CAO,r-velour,monomer
7CD7,pdb_7CD7,
7CD8,pdb_7CD8,
7DIG,dendfp,tetramer
7E53,superfolder-bfp,monomer
7KM4,seqclust_202,
7LG4,gfpxm191uv,monomer
7O7C,seqclust_203,
7O7D,seqclust_203,
7O7E,seqclust_204,
7O7H,seqclust_204,
7O7U,seqclust_166,
7O7V,seqclust_203,
7O7W,seqclust_204,
7O7X,seqclust_203,
7OIN,lssmscarlet,monomer
7PCA,seqclust_205,
7PCZ,seqclust_206,
7PD0,seqclust_207,
7PNN,mvenus,monomer
7Q6B,seqclust_208,monomer
7QGK,seqclust_209,monomer
7QLI,skylan-ns,monomer
7QLJ,skylan-ns,monomer
7QLK,skylan-ns,monomer
7QLL,skylan-ns,monomer
7QLM,skylan-ns,monomer
7QLN,seqclust_210,monomer
7QLO,seqclust_210,monomer
7RRH,seqclust_211,monomer
7RRI,seqclust_212,monomer
7RRJ,seqclust_213,monomer
7RRK,seqclust_214,monomer
7RY2,msandy2,monomer
7SAH,3-ftyr-egfp,
7SAI,3-ftyr-egfp,
7SAJ,seqclust_215,monomer
7SAK,seqclust_215,monomer
7SAL,seqclust_215,monomer
7SF9,seqclust_216,
7SFA,seqclust_217,
7SWR,gfascp,
7SWS,amilcp,
7SWT,eforcp,tetramer
7SWU,spiscp,
7TSR,seqclust_218,
7TSS,seqclust_218,
7TSU,seqclust_218,
7TSV,seqclust_218,
7UGR,hyperfolder-yfp,weak_dimer
7UGS,monomeric-hyperfolder-yfp,monomer
7UGT,fold6,weak_dimer
7VCM,seqclust_219,
7X2B,seqclust_220,
7Y40,staygold,
7Y96,superfolder-bfp,
7YAO,oxstaygold,
7YEU,seqclust_221,
7YRE,seqclust_222,
7YV3,lime,
7YV5,lime,
7Z7O,seqclust_223,
7Z7P,seqclust_223,
7Z7Q,seqclust_224,
7ZCT,mscarlet3,monomer
8A6G,seqclust_166,
8A6N,seqclust_166,
8A6O,seqclust_166,
8A6P,seqclust_166,
8A6Q,seqclust_166,
8A6R,seqclust_166,
8A6S,seqclust_166,
8A7V,seqclust_166,
8A83,seqclust_166,
8AAB,seqclust_225,monomer
8AHA,seqclust_166,
8AHB,seqclust_166,
8AM4,seqclust_166,
8ARM,seqclust_226,monomer
8B65,seqclust_227,
8B6S,rsgfp7,
8B6T,seqclust_228,
8B7G,seqclust_227,
8BAN,seqclust_229,
8BAV,p11,
8BBJ,p11,
8BGL,rscherryrev14,
8BVG,seqclust_230,
8BXP,seqclust_231,
8BXT,staygold,dimer
8C0N,seqclust_232,
8C0T,seqclust_233,
8C1X,seqclust_234,
8C7I,yuzufp,monomer
8DHR,seqclust_235,
8DPD,seqclust_236,
8DTA,seqclust_237,
8G0I,seqclust_238,
8GOS,seqclust_239,
8GYF,staygold,
8I4J,seqclust_240,
8IYY,seqclust_241,
8IYZ,mturquoise2,monomer
8IZ0,mturquoise2,monomer
8IZ1,seqclust_242,
8IZ2,seqclust_242,
8IZ3,seqclust_241,
8J2H,staygold,
8J2I,staygold,
8J2J,staygold,
8J2K,seqclust_243,
8J2L,seqclust_244,
8J3J,seqclust_245,
8JKC,seqclust_246,
8JKG,seqclust_246,
8JKI,seqclust_246,
8JL2,seqclust_246,
8JL5,seqclust_247,
8JL6,seqclust_247,
8JL7,seqclust_247,
8JLL,seqclust_247,
8JLM,seqclust_248,
8JLS,seqclust_248,
8JLT,seqclust_248,
8JLU,seqclust_248,
8OSI,seqclust_249,
8OVN,seqclust_250,
8OVO,seqclust_250,
8OVP,seqclust_251,
8OVY,yuzufp,monomer
8Q6W,lssmorange,monomer
8Q79,mbaojin,monomer
8QBJ,mbaojin,monomer
8QDD,mbaojin,monomer
8QWJ,seqclust_252,
8RZZ,rrengfp,
8S0G,rrengfp,
8S1L,rrengfp,
8S1V,rrengfp,
8SFS,seqclust_253,
8SFV,seqclust_238,
8SFX,seqclust_238,
8SFZ,pdb_8SFZ,
8SG3,seqclust_238,
8SLC,seqclust_238,
8SMU,seqclust_254,
8SXC,diogenes,monomer
8U20,seqclust_255,
8U21,ccgfp-e6,
8U22,seqclust_256,
8U23,seqclust_257,
8U24,seqclust_258,
8UL0,seqclust_210,monomer
8UL1,seqclust_210,monomer
8UL2,seqclust_210,monomer
8UL3,seqclust_210,monomer
8UL4,seqclust_210,monomer
8UL5,seqclust_210,monomer
8UQQ,seqclust_259,
8XC6,tkeima,tetramer
8XLD,seqclust_260,
8YDO,dkeima570,dimer
8YQ4,seqclust_261,
8ZUP,seqclust_262,
8ZUQ,seqclust_263,
8ZUR,seqclust_262,
8ZUS,alphagfp,dimer
8ZUT,alphagfp,dimer
8ZXH,mscarlet3-h,monomer
8ZXO,mscarlet-h,monomer
9BCF,mugfp,monomer
9C74,yuzufp,monomer
9CJM,mruby3,monomer
9F22,cgfp,
9F23,3-ftyr-egfp,
9F24,cgfp,
9FEL,seqclust_264,monomer
9FEM,mneongreen,monomer
9FEN,nowgfp,monomer
9FEO,lssmorange,monomer
9FEQ,seqclust_265,monomer
9FER,seqclust_266,dimer
9FES,seqclust_267,monomer
9FGI,nowgfp,monomer
9G7Q,stayrose,dimer
9GA0,seqclust_268,
9GVR,meos4b-l93m,monomer
9H25,seqclust_269,
9H26,seqclust_269,
9H27,seqclust_269,
9IRJ,seqclust_270,monomer
9J0Q,seqclust_271,monomer
9J0R,seqclust_272,
9J11,seqclust_271,monomer
9JX2,seqclust_273,
9K8W,seqclust_274,
9K8X,seqclust_275,
9LPU,tkeima,tetramer
9LSA,seqclust_276,
9LSC,seqclust_276,
9LSF,seqclust_276,
9LSW,seqclust_276,
9LYL,seqclust_124,
9MUS,seqclust_277,
9MUT,seqclust_278,
9MUU,seqclust_279,
9MUV,seqclust_278,
9R6H,3-ftyr-egfp,
9TAD,seqclust_280,monomer
9U9D,seqclust_281,
2ZO6,kcy,dimer
2ZO7,kcy-r1,dimer
3BX9,mkate,monomer
3BXA,mkate,monomer
3BXB,mkate,monomer
3BXC,mkate,monomer
3LS3,seqclust_282,
3LSA,seqclust_282,
3ST2,dreiklang,monomer
3ST3,dreiklang,monomer
3ST4,dreiklang,monomer
4ZIO,bdfp20,monomer
5YT1,mneptune684,monomer
6S68,aausfp2,
6U1A,fusionred,monomer
6WEM,seqclust_283,
7DMX,seqclust_284,
7DNA,seqclust_284,
7LQO,seqclust_285,
7LUG,seqclust_286,
7RHA,seqclust_287,
7RHB,seqclust_287,
7RHC,seqclust_287,
8I4K,azamired10,tetramer
8PEI,seqclust_288,
8WGP,dsredm1,monomer
8ZBO,seqclust_289,
9LD5,lssmorange,monomer
9LD8,lssmorange,monomer
9LD9,lssmorange,monomer
9S0T,superfolder-bfp,monomer
