uniprot_id,label,n_crystal,crystal_pdb,resolution,af_minor,af_major,af_ecc,af_circ,af_blen,af_area,af_plddt,cry_minor,cry_major,cry_ecc,cry_circ,cry_blen,cry_area,em_max
A0A1C7D1L6,A0A1C7D1L6_9CNID,1,5EXB,1.81,30.66,35.98,0.523,0.912,54.3,837.4,94.8,29.429503902131515,36.48892286134106,0.59118969054803,0.9060237769840406,57.535273536178096,808.5296235110277,507.0
A0A1S7IWI8,A0A1S7IWI8_ACRDI,1,6AA7,1.8,27.97,31.92,0.482,0.915,49.0,646.3,96.5,26.639180776992045,33.53496923164202,0.6074339130740867,0.9113932676497254,48.78978870174551,636.0880152806707,
A0A2Z5X7U3,A0A2Z5X7U3_9CNID,4,6JXF,1.8,28.96,34.91,0.558,0.924,49.3,761.0,96.1,27.359555518762807,31.659381145888943,0.5031745777942058,0.934556815089876,44.77417713046858,684.9102382266822,
A0A5J6CYI5,A0A5J6CYI5_9CNID,1,6S67,2.47,30.25,30.9,0.203,0.915,47.5,658.0,97.5,30.541696554692223,31.158778727492933,0.198031979043069,0.9303498958524336,46.27472183170932,700.8892403486665,509.0
A0A8S0GSD4,A0A8S0GSD4_9CNID,17,8Q79,1.45,30.8,32.41,0.312,0.952,46.1,741.2,95.2,29.90365578480386,31.990237942837343,0.355241893961939,0.9174976645551096,46.6106006288376,701.9706548738025,
A0A9Y2YAB8,A0A9Y2YAB8_9CNID,1,7X2B,1.63,27.01,32.52,0.557,0.914,58.7,636.4,96.5,27.182771014184382,33.13347075067177,0.5717869304082119,0.9218692927979952,46.6626821842691,646.697241872457,583.0
A0AQQ7,A0AQQ7_EPIJA,1,2IB5,1.8,28.51,36.36,0.621,0.909,48.4,756.2,97.4,27.75990365364169,36.804927362349446,0.6565939839426322,0.9065901010062616,48.733445409880986,747.3401778042286,
A8CLV6,A8CLV6_GALFS,1,7SWR,1.388,27.15,35.15,0.635,0.909,48.7,684.9,97.8,28.55957394704934,32.86394849237857,0.4947691870729235,0.9103955314341085,46.632104890728286,634.9296630928775,
A8CLX6,A8CLX6_STYPI,1,7SWU,1.444,27.76,32.55,0.522,0.885,59.7,698.6,94.9,26.8271280487275,31.986233511082496,0.5445805182442336,0.9077407435262138,46.83567467919346,639.8622308612644,
B5BRC3,B5BRC3_9CNID,1,4JC2,2.35,30.5,33.63,0.421,0.906,47.5,744.1,97.6,29.91139788806377,33.60128750888707,0.4555971583044224,0.918644436512756,49.6012901127956,750.5402577906393,507.0
B6CTZ7,B6CTZ7_9CNID,1,7SWT,2.005,29.75,32.84,0.424,0.893,49.6,726.5,97.3,28.615869009726023,33.00839898788838,0.4984353017130049,0.8879388067703943,46.2655015039102,701.94302050787,
D0VX33,D0VX33_ENTQU,10,8SXC,1.5,28.58,35.85,0.604,0.901,49.5,759.1,96.7,29.522267842145585,32.86009682925506,0.4391310221821492,0.8860222985130533,48.649093366006994,738.3207755516496,
H3JQU4,H3JQU4_ENTQU,1,3PIB,1.154,29.0,36.12,0.596,0.918,49.4,754.8,98.2,28.021763743353706,34.56437407105286,0.5854447379525209,0.8865438522667413,56.04771468420225,731.519637573428,583.0
H3JQU5,H3JQU5_ENTQU,1,3PJ5,1.6,28.22,32.91,0.515,0.889,48.9,658.9,98.0,26.861665942788104,33.05510261046484,0.582775830923745,0.8675450493036324,48.78758614591023,667.9882213025412,583.0
H3JQU6,H3JQU6_ENTQU,1,3PJ7,1.85,28.49,34.55,0.566,0.896,48.8,718.5,97.5,28.14927806494676,33.44185974149222,0.5398865111567474,0.8984659723550762,47.55128046697084,682.7689246417972,583.0
H3JQU7,H3JQU7_ENTQU,1,3PJB,1.75,28.85,34.41,0.545,0.898,48.9,744.8,97.8,27.618527228993667,33.604550116986374,0.5696769906695223,0.8716524713907708,48.92892748781234,684.0021745673165,583.0
J9PBR7,J9PBR7_ENTQU,1,4EDO,1.8,28.42,35.69,0.605,0.909,49.4,712.0,98.0,29.092981530719097,33.30328620563301,0.4866861405451415,0.87448997255263,49.00021350597025,668.6674291315497,583.0
J9PBR8,J9PBR8_ENTQU,1,4EDS,1.6,28.58,35.68,0.599,0.91,49.5,713.9,98.0,26.96699964883036,36.35248544120493,0.6705990848050669,0.9066291124732916,49.14322380867011,667.9402787125982,583.0
Q1ALD4,Q1ALD4_CORYC,5,8U23,1.78,28.17,32.42,0.495,0.907,61.0,688.0,94.9,28.288808285433262,31.206155350638223,0.4221763344227838,0.9237098359792932,47.42521015526832,619.541766361732,507.0
Q2VFP3,Q2VFP3_ACTEQ,1,4OHS,2.19,31.23,34.5,0.425,0.912,48.5,838.1,97.0,27.5215268169366,33.930172496383136,0.5848762836909616,0.8792344666333783,48.52555999243635,741.076485748494,583.0
Q53UG7,Q53UG7_DIPFA,1,1XSS,1.6,30.53,33.93,0.436,0.887,49.4,736.9,96.7,29.521964117265483,33.622478193875565,0.4785827037735583,0.9128281882637476,48.020037282265314,766.5371942392638,
Q53UG8,Q53UG8_DIPFA,4,2DDC,1.55,29.69,34.33,0.502,0.9,50.1,710.4,96.7,29.1077515763114,32.3867027424862,0.4384486278031735,0.9342935118374508,48.63714640428247,714.2536955237535,
Q5S3G7,Q5S3G7_9CNID,8,2QLI,1.34,27.09,34.22,0.611,0.885,60.6,665.4,95.9,27.879109953308653,33.46301611363018,0.5530741813125196,0.914531442448754,46.55563332636807,661.4673297101459,649.0
Q5S3G8,Q5S3G8_9CNID,2,2H5P,1.21,27.55,33.25,0.56,0.91,60.8,668.3,95.3,28.21648716763961,39.26727233273218,0.6954492900051723,0.821277901844705,46.242677809260606,791.7435362886534,596.0
Q5S6Z9,Q5S6Z9_LOBHE,48,7QLJ,1.02,28.47,32.99,0.505,0.941,52.6,699.2,96.2,28.73810452092832,32.4490892213902,0.4643787498768363,0.9116706753799312,49.35580628967792,684.0346953814437,
Q5ZQQ5,Q5ZQQ5_CERMM,1,2C9J,1.35,28.14,32.56,0.503,0.928,48.6,633.4,97.1,28.267872168470426,31.258301636805648,0.4268304439279857,0.9204863395263604,45.12233529443507,620.1275598824388,
Q60I25,Q60I25_GALFS,2,8I4J,1.62,29.78,33.99,0.482,0.883,50.9,713.7,97.6,29.43410428323489,32.984360828004135,0.4513135140402623,0.9033671697547886,49.15036117730209,750.9217065309571,509.0
Q66PV0,Q66PV0_ACRMI,1,7SWS,1.642,27.22,35.13,0.632,0.909,48.7,685.0,97.8,27.78253051323728,33.60224058804872,0.5624873477960377,0.890673634742828,46.61885270016556,705.4024091074582,
Q6RYS7,Q6RYS7_9CNID,1,4HE4,2.05,29.56,30.5,0.246,0.929,47.7,628.7,97.0,29.307032082812533,32.37733712554409,0.4250472391330473,0.9266251906095012,48.58385999521022,698.4069467877023,527.0
Q6YGZ0,Q6YGZ0_9CNID,3,3LVC,1.14,31.01,32.11,0.26,0.926,53.8,684.6,96.6,29.669590077150364,31.087178725613644,0.2985321700462831,0.9186316074041018,47.20792604403634,641.4556526753086,507.0
Q8I6J8,Q8I6J8_TRAGO,2,2GW3,1.4,27.56,33.46,0.567,0.907,50.9,684.7,96.6,26.903464732852623,32.88381332040157,0.5750233313521667,0.8899545105081046,48.88493134260556,630.5541580339135,518.0
Q8T4U4,Q8T4U4_9CNID,1,2FL1,2.4,27.84,33.46,0.555,0.924,48.1,654.7,97.1,28.509603199036945,32.01109328139449,0.4547554389480416,0.925790526880052,47.85931311829292,650.0812133930476,583.0
Q8T6U0,Q8T6U0_9CNID,4,5EXB,1.81,30.17,33.38,0.428,0.881,50.7,703.9,97.1,29.429503902131515,36.48892286134106,0.59118969054803,0.9060237769840406,57.535273536178096,808.5296235110277,507.0
Q8WTC7,Q8WTC7_9CNID,1,7LG4,1.81,30.8,32.08,0.28,0.921,53.4,680.3,96.5,30.221923175348703,33.1275840802304,0.4095475391433809,0.9372093961689772,51.19602880245452,750.8440962733177,507.0
Q963I9,Q963I9_RENRE,1,2RH7,1.5,29.36,33.5,0.481,0.903,48.7,727.9,95.7,29.95241570280409,33.42270566863552,0.4437114949592671,0.8759335865141513,47.09357629283897,707.7587693294856,507.0
Q9GPI6,Q9GPI6_ANESU,1,2C9I,1.82,30.52,33.51,0.413,0.921,48.8,775.4,97.8,30.11331745411732,32.841550364917765,0.3990540557886431,0.9168807220460942,48.94183557522217,720.0955106527967,489.0
