pdb_id,n_chains,used_chain,used_chain_len,recorded_seq_length,used_chain_has_chrom,used_chain_chrom_code,any_other_chain_has_chrom,all_chrom_chains,all_chains_summary,bug_flag
1ZGQ,8,A,217,218.0,True,NRQ,True,"A(217aa,NRQ);B(217aa,NRQ);C(217aa,NRQ);D(217aa,NRQ);E(217aa,NRQ);F(217aa,NRQ);G(217aa,NRQ);H(217aa,NRQ)",A=217;B=217;C=217;D=217;E=217;F=217;G=217;H=217,False
1ZUX,4,A,219,220.0,True,CR8,True,"A(219aa,CR8);B(219aa,CR8);C(219aa,CR8);D(219aa,CR8)",A=219;B=219;C=219;D=219,False
2A46,1,A,217,218.0,True,CR7,False,"A(217aa,CR7)",A=217,False
2A47,1,A,217,218.0,True,CR7,False,"A(217aa,CR7)",A=217,False
2A48,1,A,212,213.0,True,CR7,False,"A(212aa,CR7)",A=212,False
2A50,4,B,167,168.0,True,NRQ,True,"B(167aa,NRQ);D(167aa,NRQ)",A=64;B=167;C=59;D=167,False
2A52,4,B,167,168.0,True,NRQ,True,"B(167aa,NRQ);D(167aa,NRQ)",A=64;B=167;C=63;D=167,False
2A53,4,B,167,168.0,True,NRQ,True,"B(167aa,NRQ);D(167aa,NRQ)",A=64;B=167;C=59;D=167,False
2A54,4,B,167,168.0,True,NRQ,True,"B(167aa,NRQ);D(167aa,NRQ)",A=64;B=167;C=59;D=167,False
2A56,4,B,167,168.0,True,NRQ,True,"B(167aa,NRQ);D(167aa,NRQ)",A=64;B=167;C=59;D=167,False
2AH8,2,A,233,234.0,True,GYS,True,"A(233aa,GYS);B(233aa,GYS)",A=233;B=233,False
2AHA,2,A,225,226.0,True,GYS,True,"A(225aa,GYS);B(225aa,GYS)",A=225;B=225,False
2ARL,1,A,218,219.0,True,CRQ,False,"A(218aa,CRQ)",A=218,False
2AWJ,1,A,227,227.0,False,,False,,A=227,False
2AWK,1,A,224,225.0,True,CRO,False,"A(224aa,CRO)",A=224,False
2AWL,1,A,224,225.0,True,CRO,False,"A(224aa,CRO)",A=224,False
2AWM,1,A,224,225.0,True,CRO,False,"A(224aa,CRO)",A=224,False
2B3P,1,A,228,229.0,True,CRO,False,"A(228aa,CRO)",A=228,False
2B3Q,4,A,226,227.0,True,CRO,True,"A(226aa,CRO);B(226aa,CRO);C(226aa,CRO);D(226aa,CRO)",A=226;B=226;C=226;D=226,False
2BTJ,8,A,158,159.0,True,RC7,True,"A(158aa,RC7);B(158aa,RC7);C(158aa,RC7);D(158aa,RC7)",aa=60;A=158;bb=60;B=158;cc=60;C=158;dd=60;D=158,False
2C9I,8,A,225,226.0,True,CRQ,True,"A(225aa,CRQ);B(224aa,CRQ);C(225aa,CRQ);D(225aa,CRQ);E(225aa,CRQ);F(224aa,CRQ);G(225aa,CRQ);H(224aa,CRQ)",A=225;B=224;C=225;D=225;E=225;F=224;G=225;H=224,False
2C9J,8,D,218,219.0,True,CRQ,True,"A(213aa,CRQ);B(217aa,CRQ);C(217aa,CRQ);D(218aa,CRQ);E(217aa,CRQ);F(215aa,CRQ);G(217aa,CRQ);H(218aa,CRQ)",A=213;B=217;C=217;D=218;E=217;F=215;G=217;H=218,False
2DD7,2,A,214,215.0,True,CR2,True,"A(214aa,CR2);B(213aa,CR2)",A=214;B=213,False
2DD9,4,A,214,215.0,True,CR2,True,"A(214aa,CR2);B(214aa,CR2);C(213aa,CR2);D(214aa,CR2)",A=214;B=214;C=213;D=214,False
2DDC,2,B,224,225.0,True,CR8,True,"A(223aa,CR8);B(224aa,CR8)",A=223;B=224,False
2DDD,2,B,224,225.0,True,CR8,True,"A(223aa,CR8);B(224aa,CR8)",A=223;B=224,False
2DUE,1,A,220,221.0,True,C12,False,"A(220aa,C12)",A=220,False
2DUF,1,A,225,226.0,True,C12,False,"A(225aa,C12)",A=225,False
2DUG,1,A,223,224.0,True,C12,False,"A(223aa,C12)",A=223,False
2DUH,1,A,225,226.0,True,C12,False,"A(225aa,C12)",A=225,False
2DUI,1,A,225,226.0,True,GYS,False,"A(225aa,GYS)",A=225,False
2EMD,1,A,222,223.0,True,CSH,False,"A(222aa,CSH)",A=222,False
2EMN,1,A,221,222.0,True,CSH,False,"A(221aa,CSH)",A=221,False
2EMO,1,A,221,222.0,True,CSH,False,"A(221aa,CSH)",A=221,False
2FL1,4,A,225,226.0,True,XYG,True,"A(225aa,XYG);B(225aa,XYG);C(225aa,XYG);D(225aa,XYG)",A=225;B=225;C=225;D=225,False
2FWQ,1,A,232,233.0,True,XXY,False,"A(232aa,XXY)",A=232,False
2FZU,1,A,233,234.0,True,C12,False,"A(233aa,C12)",A=233,False
2G16,2,B,163,164.0,True,CWR,False,"B(163aa,CWR)",A=62;B=163,False
2G2S,2,B,164,165.0,False,,False,,A=64;B=164,False
2G3D,2,B,165,165.0,False,,False,,A=65;B=165,False
2G3O,6,C,215,216.0,True,CR2,True,"A(211aa,CR2);B(212aa,CR2);C(215aa,CR2);D(215aa,CR2);E(215aa,CR2);F(215aa,CR2)",A=211;B=212;C=215;D=215;E=215;F=215,False
2G5Z,2,B,163,164.0,False,,False,,A=62;B=163,False
2G6E,1,A,228,229.0,True,CRX,False,"A(228aa,CRX)",A=228,False
2G6X,4,B,215,216.0,True,CR2,True,"A(213aa,CR2);B(215aa,CR2);C(215aa,CR2);D(214aa,CR2)",A=213;B=215;C=215;D=214,False
2G6Y,4,B,215,216.0,True,CR2,True,"A(213aa,CR2);B(215aa,CR2);C(215aa,CR2);D(214aa,CR2)",A=213;B=215;C=215;D=214,False
2GW3,2,A,218,219.0,True,CR8,True,"A(218aa,CR8);B(218aa,CR8)",A=218;B=218,False
2GW4,4,B,156,157.0,True,RC7,True,"B(156aa,RC7);D(156aa,RC7)",A=61;B=156;C=61;D=156,False
2GX0,4,A,217,218.0,True,GYC,True,"A(217aa,GYC);B(214aa,GYC);C(217aa,GYC);D(216aa,GYC)",A=217;B=214;C=217;D=216,False
2GX2,12,C,217,218.0,True,GYS,True,"A(214aa,GYS);B(212aa,GYS);C(217aa,GYS);D(214aa,GYS);E(217aa,GYS);F(217aa,GYS);G(214aa,GYS);H(217aa,GYS);I(217aa,GYS);J(216aa,GYS);K(212aa,GYS);L(213aa,GYS)",A=214;B=212;C=217;D=214;E=217;F=217;G=214;H=217;I=217;J=216;K=212;L=213,False
2H5O,2,A,214,215.0,True,CRO,True,"A(214aa,CRO);B(214aa,CRO)",A=214;B=214,False
2H5P,1,A,222,223.0,True,CRO,False,"A(222aa,CRO)",A=222,False
2H5Q,1,A,217,218.0,True,CH6,False,"A(217aa,CH6)",A=217,False
2H5R,1,A,222,223.0,True,CRO,False,"A(222aa,CRO)",A=222,False
2H6V,1,A,233,234.0,True,CRO,False,"A(233aa,CRO)",A=233,False
2H8Q,4,A,216,217.0,True,CRQ,True,"A(216aa,CRQ);B(216aa,CRQ);C(216aa,CRQ);D(216aa,CRQ)",A=216;B=216;C=216;D=216,False
2H9W,1,A,236,238.0,True,CRO,False,"A(236aa,CRO)",A=236,False
2HCG,1,A,233,234.0,True,C99,False,"A(233aa,C99)",A=233,False
2HFC,1,A,232,232.0,False,,False,,A=232,False
2HGD,1,A,225,226.0,False,,False,,A=225,False
2HGY,1,A,225,226.0,False,,False,,A=225,False
2HJO,1,A,223,224.0,True,CRO,False,"A(223aa,CRO)",A=223,False
2HPW,1,A,228,229.0,True,GYS,False,"A(228aa,GYS)",A=228,False
2HQK,1,A,213,214.0,True,PIA,False,"A(213aa,PIA)",A=213,False
2HQZ,1,A,226,227.0,True,CRO,False,"A(226aa,CRO)",A=226,False
2HRS,1,A,225,226.0,True,CRO,False,"A(225aa,CRO)",A=225,False
2IB5,8,A,225,226.0,True,CRQ,True,"A(225aa,CRQ);B(225aa,CRQ);C(225aa,CRQ);D(225aa,CRQ);E(225aa,CRQ);F(225aa,CRQ);G(225aa,CRQ);H(225aa,CRQ)",A=225;B=225;C=225;D=225;E=225;F=225;G=225;H=225,False
2IB6,8,A,225,226.0,False,,False,,A=225;B=225;C=225;D=225;E=225;F=225;G=225;H=225,False
2ICR,4,C,226,227.0,True,XYG,True,"A(225aa,XYG);B(225aa,XYG);C(226aa,XYG);D(225aa,XYG)",A=225;B=225;C=226;D=225,False
2IE2,6,E,214,215.0,True,GYC,True,"A(213aa,GYC);B(213aa,GYC);C(212aa,GYC);D(213aa,GYC);E(214aa,GYC);F(213aa,GYC)",A=213;B=213;C=212;D=213;E=214;F=213,False
2IOV,4,C,220,221.0,True,GYC,True,"A(216aa,GYC);B(216aa,GYC);C(220aa,GYC);D(219aa,GYC)",A=216;B=216;C=220;D=219,False
2JAD,1,A,346,347.0,True,PIA,False,"A(346aa,PIA)",A=346,False
2O24,1,A,236,237.0,True,CRO,False,"A(236aa,CRO)",A=236,False
2O29,1,A,233,234.0,True,CRO,False,"A(233aa,CRO)",A=233,False
2O2B,1,A,233,234.0,True,CRO,False,"A(233aa,CRO)",A=233,False
2OGR,4,A,222,224.0,True,CH7,True,"A(222aa,CH7);B(222aa,CH7);C(222aa,CH7);D(222aa,CH7)",A=222;B=222;C=222;D=222,False
2OJK,2,A,225,226.0,True,NYG,True,"A(225aa,NYG);B(225aa,NYG)",A=225;B=225,False
2OKW,6,A,220,221.0,True,CRO,True,"A(220aa,CRO);B(220aa,CRO);C(220aa,CRO);D(220aa,CRO);E(220aa,CRO);F(220aa,CRO)",A=220;B=220;C=220;D=220;E=220;F=220,False
2OKY,2,A,220,221.0,True,CRO,True,"A(220aa,CRO);B(220aa,CRO)",A=220;B=220,False
2OTB,2,A,213,214.0,True,PIA,True,"A(213aa,PIA);B(213aa,PIA)",A=213;B=213,False
2OTE,2,A,213,214.0,True,PIA,True,"A(213aa,PIA);B(213aa,PIA)",A=213;B=213,False
2P4M,8,A,218,219.0,True,CRQ,True,"A(218aa,CRQ);B(218aa,CRQ);C(218aa,CRQ);D(218aa,CRQ);E(218aa,CRQ);F(218aa,CRQ);G(218aa,CRQ);H(218aa,CRQ)",A=218;B=218;C=218;D=218;E=218;F=218;G=218;H=218,False
2POX,4,B,219,220.0,True,GYC,True,"A(218aa,GYC);B(219aa,GYC);C(215aa,GYC);D(214aa,GYC)",A=218;B=219;C=215;D=214,False
2PXS,2,A,225,227.0,True,XYG,True,"A(225aa,XYG);B(225aa,XYG)",A=225;B=225,False
2PXW,2,A,225,227.0,True,DYG,True,"A(225aa,DYG);B(225aa,DYG)",A=225;B=225,False
2Q57,1,A,226,227.0,True,CRF,False,"A(226aa,CRF)",A=226,False
2Q6P,1,A,213,224.0,True,CRO,False,"A(213aa,CRO)",A=213,False
2QLE,4,A,226,227.0,True,CRO,True,"A(226aa,CRO);B(225aa,CRO);C(225aa,CRO);D(225aa,CRO)",A=226;B=225;C=225;D=225,False
2QLG,2,B,216,217.0,True,NRQ,True,"A(214aa,CH6);B(216aa,NRQ)",A=214;B=216,False
2QLH,2,B,216,217.0,True,NRQ,True,"A(214aa,NRQ);B(216aa,NRQ)",A=214;B=216,False
2QLI,2,B,215,216.0,True,NRQ,True,"A(214aa,NRQ);B(215aa,NRQ)",A=214;B=215,False
2QRF,1,A,225,226.0,False,,False,,A=225,False
2QT2,1,A,226,227.0,False,,False,,A=226,False
2QU1,1,A,231,232.0,True,CRO,False,"A(231aa,CRO)",A=231,False
2QZ0,1,A,224,225.0,True,CRO,False,"A(224aa,CRO)",A=224,False
2RH7,4,B,212,213.0,True,CRO,True,"A(211aa,CRO);B(212aa,CRO);C(211aa,CRO);D(211aa,CRO)",A=211;B=212;C=211;D=211,False
2V4E,8,B,217,218.0,True,NRQ,True,"A(216aa,NRQ);B(217aa,NRQ);C(217aa,NRQ);D(217aa,NRQ);E(216aa,NRQ);F(217aa,NRQ);G(217aa,NRQ);H(217aa,NRQ)",A=216;B=217;C=217;D=217;E=216;F=217;G=217;H=217,False
2VAD,1,A,217,218.0,True,CRQ,False,"A(217aa,CRQ)",A=217,False
2VAE,8,A,216,217.0,True,CRQ,True,"A(216aa,CRQ);B(216aa,CRQ);C(216aa,CRQ);D(216aa,CRQ);E(216aa,CRQ);F(216aa,CRQ);G(216aa,CRQ);H(216aa,CRQ)",A=216;B=216;C=216;D=216;E=216;F=216;G=216;H=216,False
2VVH,4,C,222,223.0,False,,False,,A=220;B=219;C=222;D=220,False
2VVI,4,C,222,223.0,False,,False,,A=217;B=219;C=222;D=219,False
2VVJ,8,B,159,160.0,True,RC7,True,"A(158aa,RC7);B(159aa,RC7);C(158aa,RC7);D(158aa,RC7)",aa=59;A=158;bb=59;B=159;cc=62;C=158;dd=61;D=158,False
2VZX,8,H,226,227.0,False,,False,,A=220;B=222;C=224;D=221;E=222;F=220;G=220;H=226,False
2WHS,4,B,226,227.0,True,CRQ,True,"A(216aa,CRQ);B(226aa,CRQ);C(215aa,CRQ);D(226aa,CRQ)",A=216;B=226;C=215;D=226,False
2WHT,4,B,216,217.0,True,CRQ,True,"A(215aa,CRQ);B(216aa,CRQ);C(215aa,CRQ);D(215aa,CRQ)",A=215;B=216;C=215;D=215,False
2WHU,4,A,215,216.0,True,CRQ,True,"A(215aa,CRQ);B(215aa,CRQ);C(215aa,CRQ);D(215aa,CRQ)",A=215;B=215;C=215;D=215,False
2WIQ,2,B,228,229.0,True,CRQ,True,"A(225aa,CRQ);B(228aa,CRQ)",A=225;B=228,False
2WIS,2,B,229,230.0,True,CRQ,True,"A(225aa,CRQ);B(229aa,CRQ)",A=225;B=229,False
2WSN,1,A,224,225.0,True,CRF,False,"A(224aa,CRF)",A=224,False
2WSO,1,A,224,225.0,True,CRF,False,"A(224aa,CRF)",A=224,False
2WUR,1,A,227,228.0,True,GYS,False,"A(227aa,GYS)",A=227,False
2Y0G,1,A,225,226.0,True,CRO,False,"A(225aa,CRO)",A=225,False
2YDZ,1,A,225,226.0,True,CRF,False,"A(225aa,CRF)",A=225,False
2YE0,1,A,225,226.0,True,SWG,False,"A(225aa,SWG)",A=225,False
2YE1,1,A,225,226.0,True,SWG,False,"A(225aa,SWG)",A=225,False
2YFP,1,A,225,226.0,True,CR2,False,"A(225aa,CR2)",A=225,False
2Z1O,4,C,215,216.0,True,GYC,True,"A(213aa,GYC);B(213aa,GYC);C(215aa,GYC);D(214aa,GYC)",A=213;B=213;C=215;D=214,False
2Z6X,8,A,216,217.0,True,GYC,True,"A(216aa,GYC);B(215aa,GYC);C(214aa,GYC);D(214aa,GYC);E(215aa,GYC);F(215aa,GYC);G(214aa,GYC);H(214aa,GYC)",A=216;B=215;C=214;D=214;E=215;F=215;G=214;H=214,False
2Z6Y,4,A,214,215.0,True,GYC,True,"A(214aa,GYC);B(214aa,GYC);C(213aa,GYC);D(213aa,GYC)",A=214;B=214;C=213;D=213,False
2Z6Z,6,C,217,218.0,True,GYC,True,"A(216aa,GYC);B(215aa,GYC);C(217aa,GYC);D(213aa,GYC);E(216aa,GYC);F(215aa,GYC)",A=216;B=215;C=217;D=213;E=216;F=215,False
2ZMU,1,A,213,214.0,True,CFY,False,"A(213aa,CFY)",A=213,False
2ZMW,4,A,213,214.0,True,CFY,True,"A(213aa,CFY);B(213aa,CFY);C(213aa,CFY);D(213aa,CFY)",A=213;B=213;C=213;D=213,False
3A8S,2,A,220,221.0,True,CRQ,True,"A(220aa,CRQ);B(220aa,CRQ)",A=220;B=220,False
3ADF,2,A,210,211.0,True,CRQ,True,"A(210aa,CRQ);B(209aa,CRQ)",A=210;B=209,False
3AI4,1,A,256,257.0,True,CR2,False,"A(256aa,CR2)",A=256,False
3AI5,1,A,299,300.0,True,CR2,False,"A(299aa,CR2)",A=299,False
3CB9,1,A,228,229.0,True,CRO,False,"A(228aa,CRO)",A=228,False
3CBE,1,A,227,228.0,True,CRO,False,"A(227aa,CRO)",A=227,False
3CD1,1,A,226,227.0,True,CRO,False,"A(226aa,CRO)",A=226,False
3CD9,1,A,226,227.0,True,CRO,False,"A(226aa,CRO)",A=226,False
3CFA,8,A,164,167.0,True,NRQ,True,"A(164aa,NRQ);B(164aa,NRQ);G(164aa,NRQ);H(164aa,NRQ)",L=58;A=164;M=59;B=164;R=58;G=164;S=59;H=164,False
3CFF,8,A,164,167.0,True,NRQ,True,"A(164aa,NRQ);B(164aa,NRQ);G(164aa,NRQ);H(164aa,NRQ)",L=58;A=164;M=58;B=164;R=58;G=164;S=58;H=164,False
3CFH,8,A,164,167.0,True,NRQ,True,"A(164aa,NRQ);B(164aa,NRQ);G(164aa,NRQ);H(164aa,NRQ)",L=58;A=164;M=58;B=164;R=58;G=164;S=58;H=164,False
3CGL,6,A,223,224.0,True,CRQ,True,"A(223aa,CRQ);B(217aa,CRQ);C(220aa,CRQ);D(219aa,CRQ);E(215aa,CRQ)",A=223;B=217;C=220;D=219;E=215;F=60,False
3DPW,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DPX,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DPZ,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQ1,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQ2,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQ3,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQ4,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQ5,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQ6,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQ7,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQ8,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQ9,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQA,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQC,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQD,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQE,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQF,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQH,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQI,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQJ,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQK,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQL,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQM,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQN,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQO,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3DQU,1,A,230,231.0,True,CR2,False,"A(230aa,CR2)",A=230,False
3E5T,1,A,228,229.0,True,NRQ,False,"A(228aa,NRQ)",A=228,False
3E5V,1,A,228,229.0,True,NRQ,False,"A(228aa,NRQ)",A=228,False
3E5W,4,A,226,227.0,True,NRQ,True,"A(226aa,NRQ);B(226aa,NRQ);C(226aa,NRQ);D(226aa,NRQ)",A=226;B=226;C=226;D=226,False
3ED8,5,C,230,231.0,True,CRO,True,"A(228aa,CRO);B(227aa,CRO);C(230aa,CRO);D(228aa,CRO);E(221aa,CRO)",A=228;B=227;C=230;D=228;E=221,False
3EVP,1,A,223,224.0,True,CRO,False,"A(223aa,CRO)",A=223,False
3EVR,1,A,397,398.0,True,CRO,False,"A(397aa,CRO)",A=397,False
3G9A,2,A,226,227.0,True,GYS,False,"A(226aa,GYS)",A=226;B=129,False
3GB3,2,A,229,230.0,True,CRQ,True,"A(229aa,CRQ);B(229aa,CRQ)",A=229;B=229,False
3GEX,1,A,233,234.0,True,CRF,False,"A(233aa,CRF)",A=233,False
3GJ1,4,A,226,227.0,True,CRO,True,"A(226aa,CRO);B(226aa,CRO);C(222aa,CRO);D(225aa,CRO)",A=226;B=226;C=222;D=225,False
3GJ2,4,B,228,229.0,True,CRO,True,"A(226aa,CRO);B(228aa,CRO);C(224aa,CRO);D(225aa,CRO)",A=226;B=228;C=224;D=225,False
3GL4,2,A,229,230.0,True,CRQ,True,"A(229aa,CRQ);B(229aa,CRQ)",A=229;B=229,False
3H1O,2,A,223,224.0,True,NRQ,True,"A(223aa,NRQ);B(223aa,NRQ)",A=223;B=223,False
3H1R,1,A,223,224.0,True,NRQ,False,"A(223aa,NRQ)",A=223,False
3I19,1,A,233,234.0,True,CRF,False,"A(233aa,CRF)",A=233,False
3IP2,1,A,228,229.0,True,NRQ,False,"A(228aa,NRQ)",A=228,False
3IR8,2,B,214,215.0,True,CRQ,True,"A(213aa,CRQ);B(214aa,CRQ)",A=213;B=214,False
3K1K,4,A,224,225.0,True,GYS,True,"A(224aa,GYS);B(224aa,GYS)",A=224;B=224;C=114;D=115,False
