pdb_id,qy_fpbase,qy_source,qy_match_identity,qy_fpbase_name,color_class
5BTT,0.7,seq,0.9912,vsfGFP-9,green
5DQB,0.85,pdb,1.0,WasCFP,cyan
5DQM,0.85,seq,0.9958,WasCFP,cyan
5DRF,0.85,pdb,1.0,WasCFP,cyan
5DRG,0.85,pdb,1.0,WasCFP,cyan
5DTL,0.63,pdb,1.0,mEos2-A69T,green
5DTX,0.3,pdb,1.0,rsEGFP2,green
5DTY,0.3,pdb,1.0,rsEGFP2,green
5DTZ,0.25,pdb,1.0,rsFolder,green
5DU0,0.25,pdb,1.0,rsFolder,green
5DY6,0.7,seq,0.9912,vsfGFP-9,green
5FVF,0.43,pdb,1.0,IrisFP,green
5FVG,0.43,pdb,1.0,IrisFP,green
5FVI,0.43,pdb,1.0,IrisFP,
5HBD,0.85,seq,0.9914,sg12,green
5HGE,0.85,seq,0.9914,sg12,green
5HW9,0.85,seq,0.9914,sg12,green
5HZS,0.85,seq,0.9953,Dronpa,green
5HZT,0.85,seq,0.9953,Dronpa,green
5HZU,0.85,seq,0.9953,Dronpa,green
5J2O,0.62,seq,0.9916,Cerulean,cyan
5JZK,0.45,pdb,1.0,usGFP,green
5JZL,0.45,pdb,1.0,muGFP,green
5LK4,0.7,pdb,1.0,mScarlet,red
5LTP,0.8,pdb,1.0,mNeonGreen,green
5LTQ,0.95,pdb,1.0,LanYFP,yellow
5LTR,0.8,pdb,1.0,mNeonGreen,green
5N9O,0.6,seq,0.9958,EGFP,green
5NI3,0.92,seq,0.9912,YuzuFP,green
5O89,0.3,pdb,1.0,rsEGFP2,green
5O8A,0.3,pdb,1.0,rsEGFP2,green
5O8B,0.3,pdb,1.0,rsEGFP2,green
5O8C,0.3,pdb,1.0,rsEGFP2,green
5OOZ,0.59,seq,1.0,Skylan-NS,
5OQ9,0.59,seq,0.9956,Skylan-NS,
5OQA,0.59,seq,0.9956,Skylan-NS,
5OX8,0.4,pdb,1.0,ECFP,cyan
5OX9,0.56,seq,0.9958,SCFP3A,cyan
5OXA,0.62,seq,0.9958,Cerulean,cyan
5OXB,0.62,seq,1.0,Cerulean,cyan
5OXC,0.62,seq,1.0,Cerulean,cyan
5T3I,0.89,seq,0.9916,Aquamarine,cyan
5WJ2,0.76,pdb,1.0,Clover,green
5YT1,0.03,seq,0.9917,mNeptune684,
6AS9,0.85,seq,0.9914,sg12,green
6B9C,0.92,seq,0.9916,YuzuFP,green
6DEJ,0.08,pdb,1.0,HcRed7,red
6GEL,0.6,seq,1.0,mCerulean2,
6GEZ,0.6,seq,1.0,mCerulean2,
6GO8,0.73,seq,1.0,GFPmut2,green
6GO9,0.73,seq,1.0,GFPmut2,green
6GOY,0.84,pdb,1.0,mEos4b,green
6GP0,0.84,pdb,1.0,mEos4b,red
6GQG,0.73,seq,1.0,GFPmut2,green
6GQH,0.73,seq,1.0,GFPmut2,green
6GRM,0.73,seq,1.0,GFPmut2,green
6JC6,0.79,seq,0.9955,shBFP,
6JGH,0.79,seq,0.9912,αGFP,green
6JGI,0.79,seq,0.9956,αGFP,green
6JGJ,0.79,seq,0.9912,αGFP,green
6KKZ,0.79,seq,0.9956,αGFP,green
6KL0,0.79,seq,0.9956,αGFP,green
6KL1,0.79,seq,0.9956,αGFP,green
6OA8,0.92,seq,0.9916,YuzuFP,green
6QQ8,0.62,seq,1.0,Cerulean,cyan
6QQ9,0.62,seq,1.0,Cerulean,cyan
6QQA,0.62,seq,1.0,Cerulean,cyan
6QQB,0.62,seq,1.0,Cerulean,cyan
6S67,0.97,seq,1.0,AausFP1,green
6U1A,0.19,seq,0.9957,FusionRed,
6VIO,0.67,seq,0.9916,EYFP,yellow
6XWY,0.46,pdb,1.0,mCRISPRed,red
6XZF,0.14,seq,0.9916,CGFP,green
6YLS,0.84,seq,1.0,mEos4b,green
6ZQO,0.67,seq,0.9958,EYFP,yellow
7A7K,0.36,seq,1.0,rsEGFP,green
7A7L,0.36,seq,1.0,rsEGFP,green
7A7S,0.42,seq,0.9916,rsGreen1,
7A7T,0.42,seq,0.9916,rsGreen1,
7A7U,0.42,seq,1.0,rsGreen1,
7A7V,0.42,seq,0.9958,rsGreen1,
7CAO,0.001,pdb,1.0,R-Velour,
7DIG,0.65,seq,0.9955,dendFP,green
7E53,0.7,seq,0.9956,vsfGFP-9,green
7LG4,0.7,seq,0.9915,GFPxm19,green
7OIN,0.42,pdb,1.0,LSSmScarlet,red
7PNN,0.64,seq,1.0,mVenus,yellow
7QLI,0.83,seq,0.991,mEos3.1,
7QLJ,0.83,seq,0.991,mEos3.1,
7QLK,0.83,seq,0.991,mEos3.1,
7QLL,0.83,seq,0.991,mEos3.1,
7QLM,0.83,seq,0.991,mEos3.1,
7QLN,0.83,seq,0.9909,mEos3.1,
7QLO,0.83,seq,0.9909,mEos3.1,
7RY2,0.35,seq,0.9956,mSandy2,
7SWT,0.16,pdb,1.0,eforCP,
7UGR,0.6,pdb,1.0,Hyperfolder YFP,yellow
7UGS,0.62,pdb,1.0,Monomeric hyperfolder YFP,yellow
7UGT,0.73,pdb,1.0,FOLD6,
7YV3,0.77,seq,0.9958,Lime,green
7YV5,0.77,seq,0.9958,Lime,
7ZCT,0.75,pdb,1.0,mScarlet3,red
8B6S,0.14,seq,0.9915,CGFP,green
8BXT,0.93,pdb,1.0,StayGold,
8C7I,0.92,seq,0.9958,YuzuFP,
8I4K,0.65,pdb,1.0,AzamiRed1.0,
8IYZ,0.56,seq,0.9916,SCFP3A,green
8IZ0,0.56,seq,0.9916,SCFP3A,cyan
8OVY,0.92,seq,0.9919,YuzuFP,green
8Q6W,0.45,seq,0.9957,LSSmOrange,orange
8Q79,0.93,pdb,1.0,mBaoJin,
8QBJ,0.93,pdb,1.0,mBaoJin,
8QDD,0.93,pdb,1.0,mBaoJin,green
8SXC,0.44,seq,0.9956,Diogenes,
8UL0,0.83,seq,0.9909,mEos3.1,
8UL1,0.83,seq,0.9909,mEos3.1,
8UL2,0.83,seq,0.9909,mEos3.1,
8UL3,0.83,seq,0.9909,mEos3.1,
8UL4,0.83,seq,0.9909,mEos3.1,
8UL5,0.83,seq,0.9909,mEos3.1,
8WGP,0.14,seq,0.9955,DsRed.M1,
8XC6,0.22,seq,0.9955,tKeima,red
8YDO,0.15,seq,0.9909,dKeima570,red
8ZUS,0.79,seq,0.9912,αGFP,green
8ZUT,0.79,seq,0.9956,αGFP,green
8ZXH,0.18,pdb,1.0,mScarlet3-H,red
8ZXO,0.2,pdb,1.0,mScarlet-H,red
9BCF,0.45,seq,0.9957,muGFP,green
9C74,0.92,seq,0.9915,YuzuFP,green
9CJM,0.45,seq,0.9957,mRuby3,red
9F22,0.14,seq,0.9916,CGFP,green
9F24,0.14,seq,0.9916,CGFP,green
9FEM,0.8,seq,1.0,mNeonGreen,green
9FEN,0.76,seq,1.0,NowGFP,orange
9FEO,0.45,seq,0.9957,LSSmOrange,orange
9FGI,0.76,seq,1.0,NowGFP,orange
9G7Q,0.93,seq,0.9954,StayGold,
9GVR,0.68,pdb,1.0,mEos4b-L93M,green
9J0Q,0.84,seq,0.9955,mEos3.2,green
9J11,0.84,seq,0.9955,mEos3.2,green
9LD5,0.45,seq,0.9957,LSSmOrange,
9LD8,0.45,seq,0.9957,LSSmOrange,
9LD9,0.45,seq,0.9957,LSSmOrange,
9LPU,0.22,seq,0.9954,tKeima,red
9S0T,0.7,seq,0.9915,vsfGFP-9,
